ID,Type,UGS,"GTIN, UPC, EAN ou ISBN",Nom,Publié,"Mis en avant ?","Visibilité dans le catalogue","Description courte",Description,"Date de début de promo","Date de fin de promo","État de la TVA","Classe de TVA","En stock ?",Stock,"Montant de stock faible","Autoriser les commandes de produits en rupture ?","Vendre individuellement ?","Poids (kg)","Longueur (cm)","Largeur (cm)","Hauteur (cm)","Autoriser les avis clients ?","Note de commande","Tarif promo","Tarif régulier",Catégories,Étiquettes,"Classe d’expédition",Images,"Limite de téléchargement","Jours d’expiration du téléchargement",Parent,"Groupes de produits","Produits suggérés","Ventes croisées","URL externe","Libellé du bouton",Position,Marques,"Méta : fea_limit_visibilty"
1913,"simple, virtual",,,"Bureau privé",1,0,visible,,"Profitez d’un bureau privé moderne et entièrement équipé, idéal pour travailler en toute tranquillité ou recevoir vos clients dans un cadre professionnel. Réservez à la demi-journée, journée, semaine ou au mois avec une flexibilité totale.",,,taxable,,0,,,0,1,,,,,0,,,0,"Réservations > Bureaux, Coworking, Réservations",,,,,,,,,,,,0,,0
1917,"simple, virtual",,,"Salle de réunion",1,0,visible,,"Une salle de réunion professionnelle entièrement équipée pour vos présentations, formations, ateliers ou réunions d’équipe. Réservez pour quelques heures, une journée ou une semaine selon vos besoins.",,,taxable,,0,,,0,1,,,,,0,,,0,"Réservations, Réservations > Salle de réunion",,,,,,,,,,,,0,,0
